SNIPPET;INDEX;CYCLES;POINTS;OBSTACLES
testrun-0-0;0;1104194;213;9
testrun-0-0;1;1132555;237;8
testrun-0-0;2;1129645;227;6
testrun-0-0;3;1074203;227;8
testrun-0-0;4;1028764;216;7
testrun-0-0;5;1065391;221;7
testrun-0-0;6;905230;193;6
testrun-0-0;7;900270;190;7
testrun-0-0;8;941180;183;6
testrun-0-0;9;778301;154;7
testrun-0-0;10;766423;149;7
testrun-0-0;11;830532;170;7
testrun-0-0;12;741043;153;5
testrun-0-0;13;874436;181;8
testrun-0-0;14;753366;156;7
testrun-0-0;15;929444;183;7
testrun-0-0;16;817302;163;7
testrun-0-0;17;852658;163;6
testrun-0-0;18;838522;162;6
testrun-0-0;19;788293;163;7
testrun-0-0;20;771775;154;7
testrun-0-0;21;754834;148;7
testrun-0-0;22;774642;151;8
testrun-0-0;23;856281;168;7
testrun-0-0;24;939732;196;7
testrun-0-0;25;1103978;216;8
testrun-0-0;26;1003448;207;6
testrun-0-0;27;954040;201;5
testrun-0-0;28;901555;192;7
testrun-0-0;29;811931;166;7
testrun-0-0;30;760240;144;7
testrun-0-0;31;684495;135;7
testrun-0-0;32;928144;183;7
testrun-0-0;33;857293;171;7
testrun-0-0;34;926308;186;8
testrun-0-0;35;875420;186;7
testrun-0-0;36;807394;166;5
testrun-0-0;37;644372;137;5
testrun-0-0;38;932803;182;7
testrun-0-0;39;886385;179;7
testrun-0-0;40;797782;156;7
testrun-0-0;41;757839;161;8
testrun-0-0;42;782631;155;8
testrun-0-0;43;767439;157;9
testrun-0-0;44;932092;176;8
testrun-0-0;45;933039;193;7
testrun-0-0;46;1005792;200;7
testrun-0-0;47;975058;205;6
testrun-0-0;48;970190;203;6
testrun-0-0;49;906768;177;7
testrun-0-0;50;857553;158;7
testrun-0-0;51;814555;168;6
testrun-0-0;52;879256;184;7
testrun-0-0;53;939458;197;9
testrun-0-0;54;886333;186;7
testrun-0-0;55;880344;182;6
testrun-0-0;56;894258;182;5
testrun-0-0;57;1028495;203;8
testrun-0-0;58;1024747;196;9
testrun-0-0;59;845905;179;8
testrun-0-0;60;933134;193;9
testrun-0-0;61;799853;161;6
testrun-0-0;62;655926;137;5
testrun-0-0;63;850999;172;6
testrun-0-0;64;833347;172;6
testrun-0-0;65;792219;158;6
testrun-0-0;66;663591;130;6
testrun-0-0;67;829599;167;7
testrun-0-0;68;845278;172;8
testrun-0-0;69;850905;171;7
testrun-0-0;70;960283;195;7
testrun-0-0;71;959581;196;6
testrun-0-0;72;792200;156;5
testrun-0-0;73;848529;172;6
testrun-0-0;74;922736;190;8
testrun-0-0;75;883042;173;7
testrun-0-0;76;897758;178;7
testrun-0-0;77;954823;186;8
testrun-0-0;78;761029;160;7
testrun-0-0;79;949193;177;9
testrun-0-0;80;886876;183;9
testrun-0-0;81;895361;179;8
testrun-0-0;82;736497;148;7
testrun-0-0;83;872812;185;9
testrun-0-0;84;877448;172;8
testrun-0-0;85;821276;156;6
testrun-0-0;86;744521;158;7
testrun-0-0;87;645148;137;7
testrun-0-0;88;517743;103;6
testrun-0-0;89;745641;157;7
testrun-0-0;90;814524;149;7
testrun-0-0;91;669331;140;8
testrun-0-0;92;778344;156;7
testrun-0-0;93;737716;157;6
testrun-0-0;94;743757;157;6
testrun-0-0;95;813862;162;7
testrun-0-0;96;730836;150;8
testrun-0-0;97;787611;168;7
testrun-0-0;98;879801;155;8
testrun-0-0;99;951207;186;7
testrun-0-0;100;1098832;220;7
testrun-0-0;101;1068653;218;7
testrun-0-0;102;1128762;226;7
testrun-0-0;103;1064219;220;6
testrun-0-0;104;1046002;215;9
testrun-0-0;105;986754;202;7
testrun-0-0;106;866733;183;6
testrun-0-0;107;936833;196;6
testrun-0-0;108;951168;199;6
testrun-0-0;109;966074;178;6
testrun-0-0;110;743710;156;6
testrun-0-0;111;728191;138;7
testrun-0-0;112;725801;145;7
testrun-0-0;113;683396;139;8
testrun-0-0;114;593257;114;6
testrun-0-0;115;638020;132;6
testrun-0-0;116;611069;126;4
testrun-0-0;117;574192;121;6
testrun-0-0;118;742750;146;7
testrun-0-0;119;739981;158;9
testrun-0-0;120;986308;209;9
testrun-0-0;121;667235;134;9
testrun-0-0;122;807059;163;10
testrun-0-0;123;827047;165;8
testrun-0-0;124;776497;157;6
testrun-0-0;125;817080;169;6
testrun-0-0;126;1011608;197;8
testrun-0-0;127;1016826;203;8
testrun-0-0;128;881315;185;7
testrun-0-0;129;918751;179;7
testrun-0-0;130;906451;179;8
testrun-0-0;131;942812;196;9
testrun-0-0;132;861903;179;9
testrun-0-0;133;734629;152;9
testrun-0-0;134;697682;140;5
testrun-0-0;135;673166;137;6
testrun-0-0;136;615254;130;7
testrun-0-0;137;568011;112;6
testrun-0-0;138;750249;147;7
testrun-0-0;139;705603;150;7
testrun-0-0;140;680180;137;6
testrun-0-0;141;672379;136;6
testrun-0-0;142;684834;133;6
testrun-0-0;143;742105;148;6
testrun-0-0;144;850842;170;7
testrun-0-0;145;588920;126;7
testrun-0-0;146;663163;142;7
testrun-0-0;147;892207;168;7
testrun-0-0;148;891090;187;6
testrun-0-0;149;862714;180;7
testrun-0-0;150;821920;172;8
testrun-0-0;151;917726;181;7
testrun-0-0;152;932718;171;8
testrun-0-0;153;773962;162;7
testrun-0-0;154;805565;168;8
testrun-0-0;155;766983;161;6
testrun-0-0;156;720848;153;7
testrun-0-0;157;701671;145;6
testrun-0-0;158;558180;117;6
testrun-0-0;159;845119;178;7
testrun-0-0;160;744486;142;7
testrun-0-0;161;775807;150;7
testrun-0-0;162;752265;156;8
testrun-0-0;163;787929;164;7
testrun-0-0;164;707085;144;7
testrun-0-0;165;682957;140;6
testrun-0-0;166;776443;152;8
testrun-0-0;167;846208;179;8
testrun-0-0;168;1021045;210;7
testrun-0-0;169;701498;149;10
testrun-0-0;170;875023;170;10
testrun-0-0;171;867797;169;7
testrun-0-0;172;814744;161;6
testrun-0-0;173;816513;155;7
testrun-0-0;174;821247;170;6
testrun-0-0;175;1024831;196;8
testrun-0-0;176;1021109;213;8
testrun-0-0;177;964153;201;6
testrun-0-0;178;890662;182;7
testrun-0-0;179;964967;185;9
testrun-0-0;180;926838;179;8
testrun-0-0;181;744704;154;6
testrun-0-0;182;873264;175;7
testrun-0-0;183;669350;141;6
testrun-0-0;184;759294;160;6
testrun-0-0;185;664597;134;6
testrun-0-0;186;789167;163;9
testrun-0-0;187;688809;138;7
testrun-0-0;188;864770;162;7
testrun-0-0;189;873501;181;8
testrun-0-0;190;991835;199;8
testrun-0-0;191;851565;170;8
testrun-0-0;192;866782;182;7
testrun-0-0;193;906488;180;7
testrun-0-0;194;918634;179;7
testrun-0-0;195;888276;168;6
testrun-0-0;196;864452;158;5
testrun-0-0;197;709557;149;4
testrun-0-0;198;802884;171;6
testrun-0-0;199;858458;182;7
testrun-0-1;0;763751;163;6
testrun-0-1;1;885094;189;10
testrun-0-1;2;929799;186;7
testrun-0-1;3;814230;172;6
testrun-0-1;4;637245;136;5
testrun-0-1;5;885394;184;8
testrun-0-1;6;865062;180;7
testrun-0-1;7;862932;176;6
testrun-0-1;8;745051;153;7
testrun-0-1;9;700856;133;7
testrun-0-1;10;643835;136;8
testrun-0-1;11;627274;132;7
testrun-0-1;12;735469;155;6
testrun-0-1;13;969357;198;5
testrun-0-1;14;956679;204;5
testrun-0-1;15;777715;163;5
testrun-0-1;16;1063512;226;8
testrun-0-1;17;1014861;215;7
testrun-0-1;18;1021088;214;8
testrun-0-1;19;1029674;213;6
testrun-0-1;20;1029373;211;6
testrun-0-1;21;889528;184;6
testrun-0-1;22;886291;183;7
testrun-0-1;23;905337;188;6
testrun-0-1;24;927083;194;8
testrun-0-1;25;889053;187;8
testrun-0-1;26;703347;148;7
testrun-0-1;27;736025;145;8
testrun-0-1;28;763239;163;7
testrun-0-1;29;787616;166;5
testrun-0-1;30;883841;184;8
testrun-0-1;31;832218;160;6
testrun-1-0;0;848472;167;10
testrun-1-0;1;1158129;224;9
testrun-1-0;2;1134312;213;9
testrun-1-0;3;1149334;217;14
testrun-1-0;4;1039304;206;9
testrun-1-0;5;1015226;203;10
testrun-1-0;6;979955;203;8
testrun-1-0;7;777815;161;7
testrun-1-0;8;981122;203;7
testrun-1-0;9;1035902;210;8
testrun-1-0;10;948097;192;8
testrun-1-0;11;1124033;216;7
testrun-1-0;12;1150687;236;6
testrun-1-0;13;1128847;216;6
testrun-1-0;14;976502;193;7
testrun-1-0;15;1024258;196;6
testrun-1-0;16;1017263;197;6
testrun-1-0;17;889400;183;7
testrun-1-0;18;909839;183;8
testrun-1-0;19;1031240;183;13
testrun-1-0;20;1140175;226;7
testrun-1-0;21;1088825;226;7
testrun-1-0;22;1088796;207;7
